,0,1,2,3
0," DS. Congreso de los Diputados, Comisiones, núm. 100, de 09/06/2020 cve"," DSCD-14-CO-100 PDF CORTES GENERALES DIARIO DE SESIONES DEL CONGRESO DE LOS DIPUTADOS COMISIONES Año 2020 XIV LEGISLATURA Núm. 100 PARA LA RECONSTRUCCIÓN SOCIAL Y ECONÓMICA PRESIDENCIA DEL EXCMO. SR. D. PATXI LÓPEZ ÁLVAREZ Sesión núm. 8 celebrada el martes, 9 de junio de 2020 ORDEN DEL DÍA: Minuto de silencio . . . (Página2) Comparecencias para informar en relación con el objeto de la Comisión. Por acuerdo de la Comisión para la Reconstrucción Social y Económica: - Doña Josefa Cantero Martínez, presidenta de la Sociedad Española de Salud Pública y Administración Sanitaria, SESPAS. (Número de expediente 219/000110) . . . (Página2) - Doña María Aránzazu González Laya, ministra de Asuntos Exteriores, Unión Europea y Cooperación. (Número de expediente 213/000433) . . . (Página14) - Don Fernando Ferrando Vitales, presidente de la Fundación Renovables. (Número de expediente 219/000111) . . . (Página32) - Don Francisco Segura Castro, representante de G-5-Alianza de Organizaciones Ecologistas. (Número de expediente 219/000112) . . . (Página48) Se abre la sesión a las once y cuarenta minutos de la mañana. MINUTO DE SILENCIO. ",2020-06-09,100
1,PRESIDENTE," Buenos días, señorías. Se abre la sesión. No creo que a estas alturas haga falta recordar que la iniciamos guardando un minuto de silencio por los fallecidos por el COVID-19. (Pausa) . Muchas gracias, señorías. COMPARECENCIAS PARA INFORMAR EN RELACIÓN CON EL OBJETO DE LA COMISIÓN. POR ACUERDO DE LA COMISIÓN PARA LA RECONSTRUCCIÓN SOCIAL Y ECONÓMICA: - DOÑA JOSEFA CANTERO MARTÍNEZ, PRESIDENTA DE LA SOCIEDAD ESPAÑOLA DE SALUD PÚBLICA Y ADMINISTRACIÓN SANITARIA, SESPAS. (Número de expediente 219/000110) . ",2020-06-09,100
2,PRESIDENTE," En primer lugar, quería pedir disculpas por el retraso en la hora del inicio de la Comisión, pero había dos grupos de trabajo reunidos. Ya sé que los grupos de trabajo usan todos los huecos para poder aprovechar el tiempo, pero también les recordaría que cuando está convocada la Comisión limiten el tiempo que aprovechan y el límite es hasta el inicio de la Comisión; habíamos dicho que los lunes, miércoles y viernes, funcionaban los grupos de trabajo, y los martes y los jueves, la plenaria de la Comisión. Me parece bien que se aprovechen los huecos, pero sabiendo que el límite temporal es el del inicio de la Comisión. Espero que para el día de hoy hayan venido con ganas porque va a ser una sesión larga, en la que continuaremos las comparecencias que hemos acordado celebrar en el seno de esta Comisión para la Reconstrucción Social y Económica. Les recuerdo que la sesión de hoy cuenta con cuatro comparecencias. En primer lugar, la de doña Josefa Cantero Martínez, presidenta de la Sociedad Española de Salud Pública y Administración Sanitaria, Sespas. Después tendremos a la señora ministra de Asuntos Exteriores, Unión Europea y Cooperación. Más tarde, a don Fernando Ferrando Vitales, presidente de la Fundación Renovables y, por último, a don Francisco Segura Castro, representante de G-5-Alianza de Organizaciones Ecologistas. Comenzamos con el primer punto del orden del día, la comparecencia de doña Josefa Cantero Martínez, presidenta de la Sociedad Española de Salud Pública y Administración Sanitaria, Sespas, a la que agradecemos, en nombre de toda la Comisión, su disposición a comparecer en la sesión de hoy. Sin más, le cedo la palabra. Muchas gracias. ",2020-06-09,100
3,"PRESIDENTA DE LA SOCIEDAD ESPAÑOLA DE SALUD PÚBLICA Y ADMINISTRACIÓN SANITARIA, SESPAS (Cantero Martínez) "," Buenos días. Antes de empezar mi comparecencia me gustaría aprovechar la oportunidad para agradecer a sus señorías haber invitado a Sespas. Realmente nos sentimos muy honrados de estar hoy aquí y de tener la oportunidad de ser escuchados en un foro tan especializado e importante como este. Comparezco aquí como presidenta de una asociación científica, Sespas, que es una asociación que acoge doce sociedades científicas de carácter temático y territorial. Somos un colectivo muy heterogéneo, pero tenemos todos un objetivo común: nuestra gran preocupación por la salud pública, por la salud de la población y por el buen funcionamiento y buen gobierno del servicio público sanitario. Ese es el fin que nos une a todos. A la hora de establecer y de orientar esta intervención, he querido ser especialmente didáctica porque es un tema enormemente complejo y, al fin y al cabo, se trata de orientar a los poderes públicos sobre qué decisiones tienen que tomar para salir de la mejor manera posible de la crisis tan aguda en la que estamos inmersos. Para ello, he querido esta vez establecer mi intervención dividiéndola en dos bloques. En el primero, me quiero ocupar de las medidas urgentes, de lo primero, de lo inmediato, de lo que hay que hacer. En segundo lugar, me gustaría realizar unas reflexiones algo más teóricas que tienen como finalidad simplemente abrir una línea de debate para intentar hacer reformas de nuestro modelo sanitario que redunden en una mayor eficacia y en un fortalecimiento del sistema público. Existe ya una abundante literatura que ha hecho análisis y diagnósticos de qué es lo que falla en nuestro sistema sanitario, en el Sistema Nacional de Salud, por lo que he querido centrar esta exposición especialmente en aquellas propuestas de reforma que se centran o parten de un enfoque especial desde la salud pública. En este sentido, antes de empezar con los dos bloques temáticos, quiero iniciar mi discurso haciendo una especie de conclusión general de cuáles serían las ideas más importantes a tener en cuenta porque van a constituir el hilo conductor de mi intervención. La primera idea que me gustaría dejar clara es que en Sespas pensamos que existe todavía un importante margen de recorrido en reformas que posiblemente no serían muy costosas, pero que contribuirían sensiblemente a mejorar la salud de la población a través de la salud pública. En segundo lugar, podemos decir que disponemos de unos marcos jurídicos muy perfectos que regulan prácticamente todo lo que se puede regular y que posiblemente se requerirían simplemente algunas puntualizaciones, algunas reformas de detalle, pero de nada sirve contar con estos marcos jurídicos si después no hay voluntad política de desarrollarlos a través de la correspondiente norma reglamentaria y de implementarlos. Y, en tercer lugar, otra idea en la que me insisten mucho algunas de las asociaciones de Sespas hace referencia a la necesidad de evolucionar en el modelo, de no centrarnos tanto en la enfermedad y mirar más a la salud. En este sentido, se ha dicho que tenemos un modelo asistencial que está centrado sobre todo en la atención a la patología y que esto crea algunas disfunciones porque al final acaba siendo un sistema medicalizado en exceso, y se entiende que debería producirse poco a poco un avance, sin desconocer obviamente la importancia que tiene lo asistencial, hacia un modelo de salud que esté centrado no tanto en la enfermedad, en la patología, sino en la salud, y que se apoye de modo predominante en la prevención y en la promoción. La pandemia nos ha enseñado que un brote de la COVID-19 es susceptible de poner en jaque a todo el sistema, tiene el potencial de desbordar el sistema asistencial de cualquier país, independientemente de las capacidades habituales. Por eso, lo que debemos hacer, lo inmediato, lo sensato, lo inteligente, pensamos que es estar preparados para posibles rebrotes, para posibles pandemias o para cualquier otro tipo de riesgo sanitario. ¿Cómo nos podemos preparar? Pues es preciso dotar al Sistema Nacional de Salud de la capacidad asistencial y de la capacidad de vigilancia epidemiológica. De modo inmediato, desde Sespas pensamos que deberían adoptarse una serie de medidas básicas. En primer lugar, establecer una reserva estratégica de material sanitario, porque ya sabemos -podemos aprender la lección- que ha faltado material. Esto ha supuesto el contagio de más de 51 000 profesionales sanitarios que han estado en primera línea, y esto no es una orientación de los poderes públicos, es una obligación que está recogida en la Ley de Prevención de Riesgos Laborales; de hecho, ya tenemos las primeras condenas: se ha condenado a la Administración en vía social por violación de los derechos fundamentales a la vida y a la integridad física de sus trabajadores, de sus empleados. En segundo lugar, como ya se ha dicho, hay que reforzar la atención primaria y comunitaria. Es la puerta de entrada del paciente al servicio público, la que puede hacer de filtro ante la atención especializada, y además ahora debe jugar un papel de centinela, un papel fundamental, en la detección de nuevos contagios, en realizar las actuaciones de investigación, lo que se ha denominado el rastreo en el seguimiento de la cuarentena. Esta atención está llamada a desempeñar un papel fundamental, siempre en coordinación con los correspondientes servicios de vigilancia epidemiológica. En tercer lugar -y me voy a detener algo más en este punto, aunque tienen el documento escrito, porque creo que es uno de los más urgentes- es necesario que el sistema tenga la capacidad suficiente de reacción, que esté dotado adecuadamente y que tenga el personal suficiente. Y aquí nos damos cuenta de que todo el personal, asistencial y no asistencial, está inmerso en realidad en los mismos procesos, en los mismos problemas. Hay que reforzar las plantillas del personal asistencial, tanto en la primaria como en la especializada; hay que reforzar de modo muy importante el personal de vigilancia epidemiológica; hay que reforzar el personal del ministerio, que realiza una importantísima función en materia de coordinación de emergencias, y hay que reforzar también otro personal no asistencial de los servicios de salud que vela continuamente por nuestra salud. Pensemos, por ejemplo, en el personal que se encarga de la seguridad alimentaria o de la sanidad ambiental. Nos encontramos aquí, a juicio de todos los expertos, con plantillas que están mermadas a causa de un problema que arrastramos y que se ha agudizado en los últimos años como consecuencia de la tasa de reposición de efectivos; nos encontramos con plantillas, sobre todo en el ámbito asistencial, que están en una situación de precariedad -la Unión Europea ya nos ha sacado los colores en varias ocasiones con la temporalidad del empleo público, sobre todo en este sector-, y en muchos ámbitos nos encontramos también con algo que asimismo es un problema de las plantillas de la Administración: el envejecimiento, la falta de relevo generacional. Esto no sería especialmente grave si no estuvieran en juego nuestra vida, nuestra salud y nuestra economía. En principio, creemos que hay que hacer aquí un importante esfuerzo de inversión y sobre todo lo que hay que hacer es planificar, porque estamos hablando de preparar a personal que es muy cualificado, no se pueden improvisar las políticas de personal. Tenemos instrumentos en nuestro ordenamiento jurídico porque las leyes de Función pública establecen una herramienta muy poco utilizada, ya que en la Administración tampoco hay cultura de planificar, me refiero al Plan de Ordenación de Recursos Humanos. Esto requiere un esfuerzo organizativo, pero sería tan sencillo como hacer una radiografía o una fotografía de lo que tengo en este momento, de lo que voy a necesitar de modo inmediato y de lo que voy a necesitar a largo plazo. Y aquí saltan unas campanillas, si se me permite la expresión, en algunos colectivos de personal que está llamado a tener un papel muy importante en la gestión de la pandemia. Me refiero sobre todo al personal de enfermería. Si comparamos los estudios que ha hecho la OCDE, en España tenemos 5, 7 enfermeras por cada mil habitantes cuando hay otros países, como Noruega o Suecia, que tienen más de diecisiete enfermeras. Estos datos hay que tenerlos en cuenta a la hora de planificar, de dotar y de redimensionar adecuadamente las plantillas de personal. Algo parecido ocurre con algunas especialidades médicas que también están llamadas a tener un importante protagonismo en la época pos-COVID. Me refiero, por ejemplo, al personal de medicina familiar y comunitaria o a la medicina preventiva y salud pública. La profesora Beatriz González López-Valcárcel y Patricia Barber Pérez han hecho un interesante estudio, titulado 'Estimación de la oferta y demanda de médicos especialistas. España 2018-2030', en el que ya hablan de que estos colectivos, estas categorías, especialidades de personal, tienen ya a día de hoy una proyección deficitaria y un desequilibrio moderado que se va a ir agravando en los próximos años. Y pensemos, por ejemplo, que hay un consenso básico generalizado en que hay que reforzar la atención primaria y las estructuras de salud pública. La cuarta medida es la necesidad de establecer planes estratégicos de gestión de personal que permitan reforzar el modelo en momentos puntuales de máxima tensión del sistema asistencial. La idea básica es que podamos tener las herramientas y el marco jurídico adecuado que nos permitan que, llegado el caso, se pueda contar con profesionales que se puedan trasladar fácilmente de centro o de territorio. ¿Cuándo? Cuando el sistema asistencial esté agotando sus recursos, pero, claro, para esto hay que tener el correspondiente plan y dotarlo del correspondiente marco jurídico. Por último, dentro de estas medidas, que serían medidas de urgente adopción, pensamos que sería importante realizar políticas de educación de la población, de lo que se ha denominado empoderamiento; medidas tendentes ya no solo a prepararla psicológicamente frente a la posibilidad de que puedan producirse nuevos rebrotes, nuevos confinamientos u otras medidas limitativas de derechos fundamentales, sino también a concienciar a las personas de la responsabilidad que tienen en el cuidado de su salud y en el cuidado de la salud de los demás. En este sentido, no estaría de más adaptar y tipificar con una mayor precisión la posibilidad de infracciones cuando se incumplan estos deberes ciudadanos, porque existe en la ley un deber de colaboración, pero parece que las cuantías de las sanciones en el actual régimen que prevé la Ley General de Salud Pública son un poco elevadas. En el segundo bloque de mi intervención quiero centrarme en una serie de ideas y reflexiones generales que no están acabadas, pero que en Sespas pensamos que pueden ser muy interesantes para abrir un debate sobre algunos temas, porque creemos que, si se hacen estas reformas, se podría mejorar sensiblemente el Sistema Nacional de Salud, el sistema público. La primera reflexión que nos surge en esta materia hace referencia a la necesidad de situar la salud pública en la agenda política y social. ¿Por qué? Porque hemos visto que es absolutamente necesario contar con un sistema de vigilancia epidemiológica y un sistema más amplio de vigilancia de la salud, que sea muy robusto y que tenga una alta capacidad de alerta y de respuesta frente a cualquier emergencia sanitaria que pueda plantearse en el futuro. Si vemos lo que ha pasado en estos últimos años, no nos extraña que algunas voces autorizadas hayan hablado ya no solo de desatención, sino incluso de un cierto menosprecio por parte de los poderes públicos hacia la salud pública. Basta con tener en cuenta un dato: hemos tardado más de treinta años, desde que se aprobó la Constitución, en aprobar la Ley General de Salud Pública, pero es que han pasado ya casi diez años desde su aprobación y gran parte de las medidas que contenía y de las reformas estrella del programa para potenciar la salud pública resulta que no se han desarrollado. Otro elemento importante que nos da idea de esta falta de atención a la salud pública es el presupuesto. Si miramos los datos que acaba de hacer públicos el Ministerio de Sanidad, hace tan solo dos meses, en la estadística de gasto sanitario público relativa a 2008 vemos lo poco que se gasta en salud pública. Si la comparamos, por ejemplo, con los servicios hospitalarios o especializados, donde se gastan -según este documento- más de 44 000 millones de euros al año, vemos que en salud pública solo se gasta el 1, 1 %, 799 millones. ¿Cómo voy de tiempo? ",2020-06-09,100
4,PRESIDENTE, Pues van a cumplirse ahora los veinte minutos. ,2020-06-09,100
5,"PRESIDENTA DE LA SOCIEDAD ESPAÑOLA DE SALUD PÚBLICA Y ADMINISTRACIÓN SANITARIA, SESPAS (Cantero Martínez) "," Segundo punto. Habría que replantearse también la necesidad y la conveniencia de desarrollar algunas de las medidas previstas en la Ley General de Salud Pública que todavía a día de hoy no se han desarrollado. Les pongo tres ejemplos. Pensemos primero en la que fue concebida como la Agencia de Salud Pública, que al final, en el texto de la ley, quedó meramente reducida en un precepto a Centro Estatal de Salud Pública con competencias en materia sobre todo de asesoramiento científico, técnico y de evaluación, cuando la idea básica sería crear una potente estructura que fuera capaz de aunar toda la capacidad técnica, toda la inteligencia, toda la evidencia científica que existe en materia de salud pública, para que podamos tener una importante capacidad no solo para identificar los riesgos, sino también para buscar soluciones basadas en la ciencia y en el conocimiento técnico. Segundo ejemplo. Desarrollo reglamentario del artículo 11 de la ley que prevé algo tan esencial como la transparencia y la publicidad como medidas y herramientas necesarias para garantizar la imparcialidad de todas aquellas personas privadas, asociaciones, expertos, lobbies, grupos de interés que se relacionan con la Administración. Tampoco se ha desarrollado. Tercer ejemplo. La creación de la red de vigilancia de salud pública. Tenemos ya la experiencia de la Red Nacional de Vigilancia Epidemiológica, que se centra fundamentalmente en las enfermedades transmisibles, pero la salud tiene muchísimos determinantes. Por eso se ha previsto -se estableció en aquel momento en la ley- la necesidad de contar con datos de salud, datos relativos a los condicionantes sociales y desigualdades que inciden en la salud, sobre riesgos ambientales del trabajo, sobre seguridad alimentaria, sobre enfermedades no transmisibles o cualquier otro problema de salud. Si no tenemos ese conocimiento de todos estos datos, que además ya están diseminados por las comunidades autónomas, entidades locales, Ceuta y Melilla, si no contamos con esta información, con estos datos, difícilmente podremos hacer políticas acertadas de salud pública, podremos planificar o podremos orientar nuestra investigación. Tercera reflexión. La crisis de la COVID-19 puede verse como una oportunidad también para reflexionar sobre el papel del Ministerio de Sanidad, y cómo ha jugado durante todo este tiempo y en la gestión de la pandemia el Consejo Interterritorial del Sistema Nacional de Salud. Porque a veces da la impresión de que el hecho de que se hayan descentralizado las competencias de salud pública y de asistencia sanitaria ha hecho que se convierta al Ministerio de Sanidad en un ministerio poco relevante, cuando es precisamente todo lo contrario, tiene que hacer cosas muy importantes que no serán las de asistencia y gestión sanitaria, pero creemos que tiene que salir reforzado de la crisis, y le corresponde un papel fundamental de liderazgo en la vigilancia de la salud pública, la inteligencia de la salud pública, la investigación, la innovación científica y organizativa. Por último -y lo he dejado para el final, pero no porque piense que sea menos importante-, creemos que otra lección aprendida es que hay que sacar la sanidad, al menos los rasgos más importantes y configuradores de nuestro sistema público sanitario, del debate partidista. Sería conveniente que las fuerzas políticas, todos los agentes implicados, se pusieran de acuerdo en unas normas mínimas básicas, en cuáles deben ser los rasgos fundamentales de nuestro modelo sanitario público. Y en este sentido, termino ya simplemente apuntando que en este contenido mínimo pensamos que debe ser punto fundamental la definición de quiénes son los titulares del derecho a la salud. Hay que avanzar, en los términos previstos en el Real Decreto-ley 7/2018, hacia la sanidad universal, no podemos dejar atrás a los más vulnerables. Habría que plantearse también en este contenido posiblemente inversiones, recursos mínimos, para que funcione el sistema y sobre todo la inversión en materia de salud. Por último, también sería bueno que se alcanzaran algunos consensos básicos sobre garantías de acceso a los medicamentos, vacunas y diagnósticos, fundamentalmente ahora, con la especial inquietud que hay con los medicamentos, pruebas diagnósticas y vacunas sobre la COVID-19. Muchas gracias por su atención y quedo a su disposición. ",2020-06-09,100
6,PRESIDENTE," Muchas gracias, señora Cantero. Ahora, como saben, es el tiempo de los grupos. Habrá un único turno de cuatro minutos por grupo, de menor a mayor. Empezamos por Coalición Canaria, del Grupo Mixto. Es un placer decirle a la señora Oramas González-Moro que tiene cuatro minutos. ",2020-06-09,100
7,ORAMAS GONZÁLEZ-MORO," Gracias, señor presidente. Usted me entiende. Señora Cantero, muchísimas gracias por su exposición y por el documento. Quería hacerle preguntas muy concretas. Ustedes representan a colectivos especialistas en epidemiología y salud pública, a profesionales de atención primaria y enfermería comunitaria, así como a juristas de la salud. Una de sus funciones, según el documento que nos ha entregado, es asesorar a las administraciones que lo soliciten. Primera pregunta, ¿alguna Administración nacional o autonómica les ha pedido asesoramiento en los últimos dos meses? Segunda cuestión. El tema de la atención primaria me interesa muchísimo. Fui alcaldesa y sufro deformación profesional. Hay que tener determinadas infraestructuras para cuando se tienen emergencias, pero es inviable económicamente -por ejemplo para una riada-. Ahora dicen que la atención primaria tiene que hacer los rastreos y, como dice usted, tiene que estar para rebrotes y pandemias Pero es que ya teníamos una atención primaria que estaba colapsada. ¿Lo importante es que los rastreos los hagan los médicos de atención primaria? Después de estos dos meses, todos los pediatras están denunciando el retraso que hay en las vacunas infantiles. Tenemos que tener normalizada la prevención de ictus, las vacunas infantiles, etcétera. ¿Los especialistas que necesita ahora este país son para rebrotes y pandemias o para tener un sistema de salud adecuado en una situación normal y, después, tener unas claves para emergencias? Quiero preguntarle por la vacuna de la gripe. Están diciendo todos los médicos y especialistas que este invierno tiene que haber una vacunación masiva de la gripe. Resulta que las previsiones de compra de las comunidades autónomas de este país se habían hecho pensando en condiciones normales. Yo me pregunto -no sé si usted tiene información- si las comunidades autónomas o Europa han previsto una compra masiva de la vacuna de la gripe, que todo el mundo dice que es fundamental, para no colapsar el sistema sanitario y, a su vez, por si hay un rebrote en octubre, no agravarse. Tercera pregunta. Me parece que ustedes pueden saber su respuesta. Es sobre una posible vacuna del COVID, una vacuna universal, pero que están investigando, fundamentalmente, laboratorios privados. Ustedes, por su conocimiento de las conexiones internacionales, ¿saben cómo se va a garantizar que el acceso a esa vacuna sea universal? Ustedes, que tienen a especialistas jurídicos, ¿han analizado la normativa internacional y de cada país para que el acceso a la vacuna sea universal? Termino, porque veo ya la luz naranja. Usted plantea un sistema de vigilancia epidemiológica y de salud. ¿No sería lógico que ese sistema de vigilancia fuera europeo? Lo digo porque España recibe ochenta millones de turistas, de los que sesenta millones son europeos. ¿Vamos a montar nosotros un sistema de vigilancia epidemiológica adecuado y profesionalizado o sería europeo? Muchas gracias, señor presidente. ",2020-06-09,100
8,PRESIDENTE," Muchas gracias, señora Oramas. Por el Grupo Parlamentario Vasco (EAJ-PNV) , tiene la palabra señora Gorospe Elezcano. ",2020-06-09,100
9,GOROSPE ELEZCANO," Gracias, presidente. Gracias, también, señora Cantero, por sus explicaciones. Empezando por el primer bloque de su intervención, usted decía que el modelo tenía que evolucionar, que se tendría que apoyar más en los aspectos preventivos de la salud que en la patología de la enfermedad. A veces tengo la sensación de que se están contraponiendo los modelos; el modelo de atención primaria o el de la salud pública con un modelo que debe reforzarse -estamos totalmente de acuerdo- para prevenir y hacer estrategias de salud. Pero nosotros consideramos que debería plantearse siempre la salud pública, la atención primaria, la atención hospitalaria, los especialistas, la alta resolución, como un todo; un modelo integral en el que se tiene que ir evolucionando y no contraponer los dos modelos. Flaco favor creo que hacemos si pensamos que el sistema sanitario debe reforzarse de esto más y de esto menos. Creo que hay espacio para todos y, sobre todo, hay necesidad para todo. En cuanto a las plantillas, efectivamente, hay que abordar alguna política. La tasa de reposición que se puso hace ya unos años llevó a una temporalidad extrema de las plantillas. Pero acabamos de venir de otra sesión del grupo de trabajo, donde el señor Bouza nos exponía casos de colegas suyos de profesión que han estado en una situación de interinidad con carácter temporal durante cuarenta años. Eso supera la dimensión de la tasa de reposición y, evidentemente, habrá que abordarlo. Usted decía que no hay cultura de planificar. No comparto esta reflexión. Creo que hay cultura de planificar, pero es cierto que tal vez la dimensión temporal de esa planificación debería abordarse para algunos aspectos de forma más extensa, con una dimensión más larga. Una vez escuché a una persona decir que la diferencia entre Europa, Occidente y China era que nosotros planificábamos a cuatro o diez años -veinte o quince en el mejor de los casos- y China planificaba a cuarenta o cincuenta años, lo cual le da una posición estratégica importante. Es cierto que, al margen de que uno planifique, van surgiendo imprevistos y van surgiendo desviaciones de la evolución que uno no preveía. En cualquier caso, planificar entiendo que sí se hace en todas las administraciones. Abordaba usted, en este primer bloque, el análisis de las especialidades que deben incorporarse. Nosotros, desde nuestro grupo, insistimos en que es urgente que se establezcan ya esos criterios para reconocer qué especialidades deben incorporarse ya, y que el Gobierno debe conseguir cruzar esa puerta del Boletín Oficial del Estado y que se reconozcan ya algunas, entre ellas, enfermedades infecciosas y, también, otras en el ámbito de la salud mental, urgencias, emergencias, todas. La cuestión es que se establezcan los criterios. Y en cuanto a la enfermería, no se ha referido a ella, pero entendemos que el decreto de especialidades debe abordar también la incorporación de algunas especialidades que respondan a las nuevas situaciones. En el segundo bloque hablaba usted del rol de la salud pública; y ahí estamos totalmente de acuerdo. Creemos que el personal técnico de salud pública debe mejorar su estatus, su rol, su reconocimiento, sus condiciones laborales, para que sea una opción. Veo que se ha encendido la luz naranja, con lo cual, para terminar, le diría, en cuanto a las lecciones aprendidas, que otra lección aprendida es que el modelo de descentralización del sistema sanitario ha funcionado, ha respondido, ha mostrado su resiliencia; y tenemos aspectos que mejorar y los vamos a mejorar a buen seguro. Y usted finalizaba diciendo que debería sustraerse este debate del debate político. Yo creo que no debe sustraerse del debate político, porque podemos aportar mucho y podemos acordar mucho. Lo que debe ocurrir con el debate político es que vuelva a su cauce natural, para llegar a acuerdos y aportar en positivo. Gracias. ",2020-06-09,100
