,link,legislatura,date,type
0,https://www.congreso.es/public_oficiales/L3/CONG/DS/PL/PL_001.PDF,III,1986-07-15,diaro de sesiones
1,https://www.congreso.es/public_oficiales/L3/CONG/DS/PL/PL_002.PDF,III,1986-07-22,diaro de sesiones
2,https://www.congreso.es/public_oficiales/L3/CONG/DS/PL/PL_003.PDF,III,1986-07-23,diaro de sesiones
3,https://www.congreso.es/public_oficiales/L3/CONG/DS/PL/PL_004.PDF,III,1986-07-28,diaro de sesiones
4,https://www.congreso.es/public_oficiales/L3/CONG/DS/PL/PL_005.PDF,III,1986-07-28,diaro de sesiones
5,https://www.congreso.es/public_oficiales/L3/CONG/DS/PL/PL_006.PDF,III,1986-09-24,diaro de sesiones
6,https://www.congreso.es/public_oficiales/L3/CONG/DS/PL/PL_007.PDF,III,1986-09-25,diaro de sesiones
7,https://www.congreso.es/public_oficiales/L3/CONG/DS/PL/PL_008.PDF,III,1986-10-01,diaro de sesiones
8,https://www.congreso.es/public_oficiales/L3/CONG/DS/PL/PL_009.PDF,III,1986-10-02,diaro de sesiones
9,https://www.congreso.es/public_oficiales/L3/CONG/DS/PL/PL_010.PDF,III,1986-10-15,diaro de sesiones
10,https://www.congreso.es/public_oficiales/L3/CONG/DS/PL/PL_011.PDF,III,1986-10-16,diaro de sesiones
11,https://www.congreso.es/public_oficiales/L3/CONG/DS/PL/PL_012.PDF,III,1986-10-28,diaro de sesiones
12,https://www.congreso.es/public_oficiales/L3/CONG/DS/PL/PL_013.PDF,III,1986-10-29,diaro de sesiones
13,https://www.congreso.es/public_oficiales/L3/CONG/DS/PL/PL_014.PDF,III,1986-10-30,diaro de sesiones
14,https://www.congreso.es/public_oficiales/L3/CONG/DS/PL/PL_015.PDF,III,1986-11-05,diaro de sesiones
15,https://www.congreso.es/public_oficiales/L3/CONG/DS/PL/PL_016.PDF,III,1986-11-06,diaro de sesiones
16,https://www.congreso.es/public_oficiales/L3/CONG/DS/PL/PL_017.PDF,III,1986-11-17,diaro de sesiones
17,https://www.congreso.es/public_oficiales/L3/CONG/DS/PL/PL_018.PDF,III,1986-11-18,diaro de sesiones
18,https://www.congreso.es/public_oficiales/L3/CONG/DS/PL/PL_019.PDF,III,1986-11-19,diaro de sesiones
19,https://www.congreso.es/public_oficiales/L3/CONG/DS/PL/PL_020.PDF,III,1986-11-20,diaro de sesiones
20,https://www.congreso.es/public_oficiales/L3/CONG/DS/PL/PL_021.PDF,III,1986-11-21,diaro de sesiones
21,https://www.congreso.es/public_oficiales/L3/CONG/DS/PL/PL_022.PDF,III,1986-11-24,diaro de sesiones
22,https://www.congreso.es/public_oficiales/L3/CONG/DS/PL/PL_023.PDF,III,1986-11-25,diaro de sesiones
23,https://www.congreso.es/public_oficiales/L3/CONG/DS/PL/PL_024.PDF,III,1986-12-03,diaro de sesiones
24,https://www.congreso.es/public_oficiales/L3/CONG/DS/PL/PL_025.PDF,III,1986-12-04,diaro de sesiones
25,https://www.congreso.es/public_oficiales/L3/CONG/DS/PL/PL_026.PDF,III,1986-12-17,diaro de sesiones
26,https://www.congreso.es/public_oficiales/L3/CONG/DS/PL/PL_027.PDF,III,1986-12-18,diaro de sesiones
